epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.821,1.51584,4.06965,1.66604,0.43746,0.17933,0.13669,0.0729,1.42962,4.11287,1.64605,0.000173428,0.000173428,0.000173428
2,697.431,1.54897,3.35056,1.68287,0.50381,0.3424,0.3207,0.18585,1.44062,3.58951,1.72082,0.000345308,0.000345308,0.000345308
3,1026.32,1.54021,2.93562,1.6814,0.44254,0.50409,0.48185,0.27494,1.40217,3.18549,1.67585,0.000513717,0.000513717,0.000513717
4,1354.38,1.56488,2.71358,1.67486,0.80732,0.38443,0.53462,0.28044,1.5687,3.06751,1.78368,0.000510378,0.000510378,0.000510378
5,1681.93,1.53214,2.60356,1.65724,0.46613,0.53905,0.53868,0.31485,1.43092,2.86833,1.6911,0.00050517,0.00050517,0.00050517
6,2009.36,1.50747,2.42689,1.64553,0.54972,0.64202,0.61668,0.36261,1.41647,2.61872,1.64682,0.000499963,0.000499963,0.000499963
7,2336.99,1.49661,2.26973,1.61361,0.65567,0.61079,0.68343,0.41783,1.3442,2.42889,1.58208,0.000494756,0.000494756,0.000494756
8,2664.54,1.46818,2.16016,1.59863,0.57291,0.63811,0.66511,0.39315,1.4378,2.0598,1.61981,0.000489548,0.000489548,0.000489548
9,2992.93,1.44007,2.01616,1.55409,0.63305,0.61812,0.66876,0.41335,1.37305,2.02523,1.62313,0.000484341,0.000484341,0.000484341
10,3323.51,1.44062,1.99719,1.57068,0.73582,0.58374,0.66939,0.41369,1.31184,1.93097,1.53375,0.000479133,0.000479133,0.000479133
11,3652.76,1.41658,1.90369,1.53809,0.76515,0.60929,0.7146,0.44233,1.37174,1.86109,1.57256,0.000473926,0.000473926,0.000473926
12,3982.03,1.37944,1.82624,1.51892,0.78395,0.63503,0.69934,0.43766,1.34496,1.79288,1.54329,0.000468719,0.000468719,0.000468719
13,4330.51,1.40428,1.822,1.53084,0.71476,0.68886,0.70796,0.43955,1.31461,1.68699,1.5511,0.000463511,0.000463511,0.000463511
14,4673.88,1.35318,1.68779,1.49382,0.66788,0.66944,0.7359,0.47351,1.27996,1.52347,1.52792,0.000458304,0.000458304,0.000458304
15,5009.12,1.35911,1.67487,1.4929,0.76089,0.75005,0.79792,0.50391,1.35126,1.49467,1.50057,0.000453096,0.000453096,0.000453096
16,5356.26,1.32415,1.57037,1.45706,0.78103,0.66705,0.75193,0.48405,1.29974,1.40451,1.50115,0.000447889,0.000447889,0.000447889
17,5695.22,1.31749,1.54271,1.44855,0.6902,0.72187,0.77076,0.48977,1.31451,1.39646,1.55073,0.000442682,0.000442682,0.000442682
18,6030.53,1.33778,1.53759,1.46179,0.80136,0.66725,0.73471,0.44789,1.36335,1.51658,1.53401,0.000437474,0.000437474,0.000437474
19,6362.3,1.29626,1.47705,1.44222,0.75282,0.71192,0.7921,0.5229,1.23352,1.27065,1.44623,0.000432267,0.000432267,0.000432267
20,6692.01,1.27548,1.41683,1.41634,0.79918,0.77386,0.81427,0.51851,1.32575,1.33832,1.47846,0.000427059,0.000427059,0.000427059
21,7021.14,1.25495,1.43387,1.41163,0.801,0.75036,0.81188,0.55529,1.24308,1.30511,1.44764,0.000421852,0.000421852,0.000421852
22,7351.78,1.23833,1.39371,1.39371,0.78117,0.77697,0.82504,0.52798,1.30901,1.18136,1.49912,0.000416645,0.000416645,0.000416645
23,7680.6,1.22203,1.36333,1.38554,0.73324,0.82903,0.81958,0.54631,1.2809,1.20512,1.44531,0.000411437,0.000411437,0.000411437
24,8011.43,1.23496,1.35803,1.39868,0.74172,0.74184,0.75427,0.48731,1.31905,1.28263,1.49782,0.00040623,0.00040623,0.00040623
25,8341.01,1.22875,1.32508,1.39169,0.83663,0.75352,0.80951,0.55245,1.26751,1.19684,1.45733,0.000401022,0.000401022,0.000401022
26,8670.9,1.23054,1.28592,1.38508,0.7912,0.82405,0.83537,0.53303,1.28468,1.14212,1.46918,0.000395815,0.000395815,0.000395815
27,9003.97,1.19645,1.25975,1.36893,0.80088,0.72626,0.79071,0.51925,1.30731,1.11192,1.53606,0.000390608,0.000390608,0.000390608
28,9340.33,1.20729,1.24702,1.37609,0.86955,0.7429,0.83967,0.55905,1.23992,1.02718,1.42632,0.0003854,0.0003854,0.0003854
29,9676.38,1.19801,1.23132,1.36594,0.78927,0.80783,0.84064,0.57835,1.19769,1.04826,1.38317,0.000380193,0.000380193,0.000380193
30,10009.2,1.18385,1.18381,1.35676,0.85074,0.73803,0.82153,0.55909,1.19606,1.05627,1.42802,0.000374985,0.000374985,0.000374985
31,10422.7,1.17062,1.21075,1.34961,0.79502,0.77744,0.8221,0.55742,1.22411,1.06824,1.44621,0.000369778,0.000369778,0.000369778
32,10881.4,1.18309,1.19655,1.34613,0.8176,0.7717,0.82852,0.56563,1.18859,1.00771,1.42944,0.000364571,0.000364571,0.000364571
33,11309,1.15641,1.15169,1.3377,0.80394,0.79687,0.84033,0.57158,1.21291,1.00678,1.44325,0.000359363,0.000359363,0.000359363
34,11740.8,1.15753,1.14268,1.34484,0.76125,0.83673,0.82744,0.55572,1.22047,1.00703,1.47903,0.000354156,0.000354156,0.000354156
35,12167.6,1.16543,1.17482,1.33871,0.72707,0.83058,0.80416,0.52932,1.20506,1.06599,1.44536,0.000348948,0.000348948,0.000348948
36,12599.6,1.10693,1.0911,1.315,0.81336,0.82541,0.847,0.55683,1.29757,1.0183,1.46228,0.000343741,0.000343741,0.000343741
37,12989.5,1.13873,1.08129,1.31474,0.80325,0.79074,0.84725,0.56427,1.25641,0.97139,1.48144,0.000338534,0.000338534,0.000338534
38,13380,1.12891,1.10369,1.32148,0.80445,0.78913,0.81848,0.55906,1.17055,1.02524,1.42237,0.000333326,0.000333326,0.000333326
39,13767.1,1.12568,1.06431,1.31358,0.84712,0.76764,0.82902,0.57954,1.16706,0.95261,1.42114,0.000328119,0.000328119,0.000328119
